billNumber,name,alias1,alias2,alias3,alias4,alias5
第201回国会閣法第1号,地方交付税法及び特別会計に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第2号,平成三十年度歳入歳出の決算上の剰余金の処理の特例に関する法律案,,,,,
第201回国会閣法第4号,防衛省設置法の一部を改正する法律案,,,,,
第201回国会閣法第3号,所得税法等の一部を改正する法律案,,,,,
第201回国会閣法第5号,国家戦略特別区域法の一部を改正する法律案,スーパーシティ法,AI都市法,,,
第201回国会閣法第6号,地方税法等の一部を改正する法律案,,,,,
第201回国会閣法第7号,地方交付税法等の一部を改正する法律案,,,,,
第201回国会閣法第8号,市町村の合併の特例に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第9号,関税定率法等の一部を改正する法律案,,,,,
第201回国会閣法第10号,国際金融公社への加盟に伴う措置に関する法律及び国際開発協会への加盟に伴う措置に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第11号,労働基準法の一部を改正する法律案,,,,,
第201回国会閣法第12号,雇用保険法等の一部を改正する法律案,,,,,
第201回国会閣法第13号,土地基本法等の一部を改正する法律案,,,,,
第201回国会閣法第14号,高齢者、障害者等の移動等の円滑化の促進に関する法律の一部を改正する法律案,改正バリアフリー法,,,,
第201回国会閣法第15号,道路法等の一部を改正する法律案,改正道路法案,,,,
第201回国会閣法第16号,電波法の一部を改正する法律案,改正電波法案,,,,
第201回国会閣法第17号,裁判所職員定員法の一部を改正する法律案,,,,,
第201回国会閣法第18号,在外公館の名称及び位置並びに在外公館に勤務する外務公務員の給与に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第19号,文化観光拠点施設を中核とした地域における文化観光の推進に関する法律案,文化観光推進法,,,,
第201回国会閣法第20号,持続可能な運送サービスの提供の確保に資する取組を推進するための地域公共交通の活性化及び再生に関する法律等の一部を改正する法律案,地域公共交通活性化再生法,,,,
第201回国会閣法第21号,都市再生特別措置法等の一部を改正する法律案,都市再生特別措置法等改正案,,,,
第201回国会閣法第22号,特定高度情報通信技術活用システムの開発供給及び導入の促進に関する法律案,特定高度情報通信技術活用システム普及促進法,,,,
第201回国会閣法第23号,特定デジタルプラットフォームの透明性及び公正性の向上に関する法律案,巨大IT規制法,,,,
第201回国会閣法第24号,株式会社日本政策投資銀行法の一部を改正する法律案,,,,,
第201回国会閣法第25号,家畜伝染病予防法の一部を改正する法律案,,,,,
第201回国会閣法第26号,強靱かつ持続可能な電気供給体制の確立を図るための電気事業法等の一部を改正する法律案,エネルギー供給強靱化法案,,,,
第201回国会閣法第27号,聴覚障害者等による電話の利用の円滑化に関する法律案,,,,,
第201回国会閣法第28号,電気通信事業法及び日本電信電話株式会社等に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第29号,無人航空機等の飛行による危害の発生を防止するための航空法及び重要施設の周辺地域の上空における小型無人機等の飛行の禁止に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第30号,マンションの管理の適正化の推進に関する法律及びマンションの建替え等の円滑化に関する法律の一部を改正する法律案,改正マンション管理適正化法,,,,
第201回国会閣法第31号,地域における一般乗合旅客自動車運送事業及び銀行業に係る基盤的なサービスの提供の維持を図るための私的独占の禁止及び公正取引の確保に関する法律の特例に関する法律案,地域における乗合バス及び地銀に関する独禁法の特例法案,,,,
第201回国会閣法第32号,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律案,第9次地方分権一括法,,,,
第201回国会閣法第33号,復興庁設置法等の一部を改正する法律案,,,,,
第201回国会閣法第34号,年金制度の機能強化のための国民年金法等の一部を改正する法律案,年金改革法,,,,
第201回国会閣法第35号,家畜改良増殖法の一部を改正する法律案,,,,,
第201回国会閣法第36号,家畜遺伝資源に係る不正競争の防止に関する法律案,家畜遺伝資源不正競争防止法,,,,
第201回国会閣法第37号,種苗法の一部を改正する法律案,,,,,
第201回国会閣法第38号,道路交通法の一部を改正する法律案,,,,,
第201回国会閣法第39号,割賦販売法の一部を改正する法律案,改正割賦販売法,,,,
第201回国会閣法第40号,金融サービスの利用者の利便の向上及び保護を図るための金融商品の販売等に関する法律等の一部を改正する法律案,資金移動、新金融サービス仲介の法律案,,,,
第201回国会閣法第41号,公益通報者保護法の一部を改正する法律案,,,,,
第201回国会閣法第42号,自動車の運転により人を死傷させる行為等の処罰に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第43号,地域共生社会の実現のための社会福祉法等の一部を改正する法律案,,,,,
第201回国会閣法第44号,賃貸住宅の管理業務等の適正化に関する法律案,,,,,
第201回国会閣法第45号,森林組合法の一部を改正する法律案,,,,,
第201回国会閣法第46号,新型インフルエンザ等対策特別措置法の一部を改正する法律案,新型コロナ特措法,,,,
第201回国会閣法第47号,科学技術基本法等の一部を改正する法律案,,,,,
第201回国会閣法第48号,個人情報の保護に関する法律等の一部を改正する法律案,,,,,
第201回国会閣法第49号,著作権法及びプログラムの著作物に係る登録の特例に関する法律の一部を改正する法律案,インターネット上の海賊版対策強化等を含む改正著作権法案,,,,
第201回国会閣法第50号,中小企業の事業承継の促進のための中小企業における経営の承継の円滑化に関する法律等の一部を改正する法律案,中小企業成長促進法案,,,,
第201回国会閣法第51号,大気汚染防止法の一部を改正する法律案,,,,,
第201回国会閣法第52号,国家公務員法等の一部を改正する法律案,検察庁法改正案,,,,
第201回国会閣法第53号,地方公務員法の一部を改正する法律案,,,,,
第201回国会閣法第54号,新型コロナウイルス感染症等の影響に対応するための国税関係法律の臨時特例に関する法律案,新型コロナ税特法,,,,
第201回国会閣法第55号,地方税法等の一部を改正する法律案,,,,,
第201回国会閣法第56号,平成三十二年東京オリンピック競技大会・東京パラリンピック競技大会特別措置法等の一部を改正する法律案,,,,,
第201回国会閣法第57号,株式会社地域経済活性化支援機構法の一部を改正する法律案,REVIC法改正案,,,,
第201回国会閣法第58号,金融機能の強化のための特別措置に関する法律の一部を改正する法律案,,,,,
第201回国会閣法第59号,新型コロナウイルス感染症等の影響に対応するための雇用保険法の臨時特例等に関する法律案,新型コロナ雇用保険臨時特例法,,,,
第200回国会閣法第12号,外国弁護士による法律事務の取扱いに関する特別措置法の一部を改正する法律案,,,,,
第201回国会衆法第1号,特定複合観光施設区域の整備の推進に関する法律及び特定複合観光施設区域整備法を廃止する法律案,IR推進法廃止法案,カジノ法廃止法案,,,
第201回国会衆法第2号,家畜伝染病予防法の一部を改正する法律案,,,,,
第201回国会衆法第3号,新型コロナウイルス感染症検査の円滑かつ迅速な実施の促進に関する法律案,新型コロナウイルス検査拡充法案,,,,
第201回国会衆法第4号,独立行政法人大学入試センター法の一部を改正する法律案,,,,,
第201回国会衆法第5号,養豚農業振興法の一部を改正する法律案,,,,,
第201回国会衆法第6号,地震防災対策強化地域における地震対策緊急整備事業に係る国の財政上の特別措置に関する法律の一部を改正する法律案,,,,,
第201回国会衆法第7号,年金積立金管理運用独立行政法人法等の一部を改正する法律案,,,,,
第201回国会衆法第8号,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,,,,,
第201回国会衆法第9号,中小企業者等の事業用不動産に係る賃料相当額の支払猶予及びその負担軽減に関する法律案,,,,,
第201回国会衆法第10号,令和二年度特別定額給付金等に係る差押禁止等に関する法律案,,,,,
第201回国会衆法第11号,介護・障害福祉従事者の人材確保に関する特別措置法案,,,,,
第201回国会衆法第12号,障害者の日常生活及び社会生活を総合的に支援するための法律及び児童福祉法の一部を改正する法律案,,,,,
第201回国会衆法第13号,障害者の日常生活及び社会生活を総合的に支援するための法律の一部を改正する法律案,,,,,
第201回国会衆法第14号,新型コロナウイルス感染症等の影響に対応するための学生等の支援等に関する特別措置法案,コロナ困窮学生支援法案,,,,
第201回国会衆法第15号,児童扶養手当受給者に対する臨時特別給付金の支給に関する法律案,,,,,
第201回国会衆法第16号,公職選挙法の一部を改正する法律案,,,,,
第201回国会衆法第17号,新型コロナウイルス感染症等の影響に対応するための休業者、離職者等の生活の支援に関する特別措置法案,,,,,
第201回国会衆法第18号,業務等における性的加害言動の禁止等に関する法律案,,,,,
第201回国会衆法第19号,特定給付金等の迅速かつ確実な給付のための給付名簿等の作成等に関する法律案,,,,,
第201回国会衆法第20号,新型コロナウイルス感染症対策中小事業者等持続化給付金に係る差押禁止等に関する法律案,,,,,
第201回国会衆法第21号,新型コロナウイルス感染症対策地方特定給付金に係る差押禁止等に関する法律案,,,,,
第201回国会衆法第23号,防災重点農業用ため池に係る防災工事等の推進に関する特別措置法案,,,,,
第201回国会衆法第24号,令和二年度ひとり親世帯臨時特別給付金等に係る差押禁止等に関する法律案,,,,,
第201回国会衆法第22号,株式会社地域経済活性化支援機構法の一部を改正する法律案,,,,,
第201回国会参法第5号,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,,,,,
第201回国会参法第6号,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,,,,,
第201回国会参法第7号,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,,,,,
第201回国会参法第17号,独立行政法人都市再生機構の完全民営化の推進に関する法律案,,,,,
第201回国会参法第18号,農地法の一部を改正する法律案,,,,,
第201回国会参法第19号,地域の事情に応じた介護サービス等の提供体制の整備に関する法律案,,,,,
第201回国会参法第20号,地域の事情に応じた保育サービスの提供体制の整備に関する法律案,,,,,
第201回国会参法第21号,児童福祉法の一部を改正する法律案,,,,,
第201回国会参法第22号,国家公務員法の一部を改正する法律案,,,,,
第201回国会参法第23号,地方自治法の一部を改正する法律案,,,,,
第201回国会参法第24号,地方教育行政改革の推進に関する法律案,,,,,
第201回国会参法第25号,国家戦略特別区域法の一部を改正する法律案,,,,,
第201回国会参法第26号,日本たばこ産業株式会社の完全民営化等に関する法律案,,,,,
第201回国会参法第27号,公文書等の管理に関する法律の一部を改正する法律案,,,,,
第201回国会参法第28号,公文書院の設置等による公文書等の管理の適正化の推進に関する法律案,,,,,
第201回国会参法第29号,新型コロナウイルス感染症等の経済活動への影響に対する対策として消費税の税率を当分の間引き下げるために講ずべき措置に関する法律案,,,,,
第201回国会参法第30号,新型コロナウイルス感染症関連支援に係る手続の迅速化に関する法律案,,,,,
第201回国会衆法第25号,新型コロナウイルス感染症等の影響を受けた国民等に対する援助のための日本司法支援センターの業務の特例に関する法律案,,,,,
第201回国会衆法第26号,労働者協同組合法案,,,,,
第201回国会衆法第27号,電子署名及び認証業務に関する法律の一部を改正する法律案,,,,,
第195回国会衆法第4号,公文書等の管理に関する法律の一部を改正する法律案,,,,,
第195回国会衆法第5号,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,,,,,
第195回国会衆法第8号,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第2号,被災者生活再建支援法の一部を改正する法律案,,,,,
第196回国会衆法第4号,東日本大震災復興特別区域法の一部を改正する法律案,,,,,
第196回国会衆法第5号,東日本大震災からの復興の推進のための相続に係る移転促進区域内の土地等の処分の円滑化に関する法律案,,,,,
第196回国会衆法第6号,対象発電用原子炉施設等に係る核原料物質、核燃料物質及び原子炉の規制に関する法律の特例に関する法律案,,,,,
第196回国会衆法第7号,原発廃止・エネルギー転換を実現するための改革基本法案,,,,,
第196回国会衆法第13号,主要農作物種子法案,,,,,
第196回国会衆法第18号,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第19号,国有林野事業に従事する職員の給与等に関する特例法案,,,,,
第196回国会衆法第21号,公文書等の管理に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第22号,会計検査院法及び予算執行職員等の責任に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第23号,畜産経営の安定に関する法律及び独立行政法人農畜産業振興機構法の一部を改正する法律案,,,,,
第196回国会衆法第30号,国家公務員法等の一部を改正する法律案,,,,,
第196回国会衆法第31号,国家公務員の労働関係に関する法律案,,,,,
第196回国会衆法第32号,公務員庁設置法案,,,,,
第196回国会衆法第33号,農業者戸別所得補償法案,,,,,
第196回国会衆法第35号,性暴力被害者の支援に関する法律案,,,,,
第196回国会衆法第37号,民法の一部を改正する法律案,民法（債権法）改正,,,,
第196回国会衆法第38号,介護・障害福祉従事者の人材確保に関する特別措置法案,,,,,
第196回国会衆法第39号,保育等従業者の人材確保のための処遇の改善等に関する特別措置法案,,,,,
第196回国会衆法第42号,日本国憲法の改正手続に関する法律の一部を改正する法律案,,,,,
